image_id,variant,,map_original,map_adversarial,SSIM,PSNR,MS-SSIM,FSIM,LPIPS,DISTS,L0,L2,delta_R,delta_G,delta_B
460841,advlogo_eps0.9_iter3,3,0.166666667,0,0.9956107,51.79237284,0.999421597,0.999601364,0.025200784,0.003040552,111370,0.001794901,0.000850232,0.000841509,0.000852451
123131,advlogo_eps0.9_iter2,2,0.181818182,0,0.9986405,53.27851291,0.99983114,0.999781907,0.007355935,0.00097084,81098,0.001289983,0.000606817,0.000601165,0.000579341
334006,advlogo_eps0.9_iter34,34,0.424242424,0,0.9854552,39.21348987,0.998257041,0.997368395,0.044121843,0.00717622,338644,0.010052833,0.004967753,0.005036554,0.004945275
511599,advlogo_eps0.9_iter18,18,0.066363636,0,0.9895467,42.09651619,0.998597741,0.99771595,0.034426801,0.017341316,300150,0.007307428,0.00356814,0.003551474,0.003590526
174004,advlogo_eps0.9_iter2,2,1,0,0.9987659,53.14386208,0.99984622,0.999774933,0.004639843,0.001325548,102548,0.001588321,0.000744659,0.000733092,0.000754336
87470,advlogo_eps0.9_iter4,4,0.2,0,0.9961176,49.74824256,0.999492347,0.99972868,0.021951031,0.005463243,161166,0.002791263,0.001335183,0.001327477,0.001346137
9769,advlogo_eps0.9_iter9,9,0.590909091,0,0.9955917,45.50476496,0.999343991,0.999454141,0.014635012,0.007702172,206236,0.004425552,0.00213471,0.00212505,0.002147415
558114,advlogo_eps0.9_iter73,73,0.116200466,0,0.95729846,36.48424314,0.993130803,0.995325446,0.137982354,0.014917493,400562,0.016622977,0.008480597,0.008285628,0.008424049
163257,advlogo_eps0.9_iter39,39,0.2,0,0.96374935,39.31650849,0.995200634,0.9957968,0.125007823,0.024209142,376064,0.011617708,0.005831697,0.005718561,0.005951348
361551,advlogo_eps0.9_iter21,21,0.163636364,0,0.97690445,41.96407953,0.99662441,0.996835709,0.090040818,0.018846512,328915,0.008338324,0.004132817,0.004124699,0.004193576
236784,advlogo_eps0.9_iter1,1,0.136363636,0,0.99963546,57.0316017,0.999944687,0.99994278,0.002828648,0.000993967,65070,0.000875598,0.000397719,0.00039708,0.000399581
342971,advlogo_eps0.9_iter32,32,0.333333333,0,0.97081715,41.4880503,0.994907081,0.999095619,0.099893868,0.027105272,320994,0.007581665,0.003691182,0.0036907,0.003753657
361919,advlogo_eps0.9_iter95,95,0.191346154,0,0.9530533,35.21636937,0.991290212,0.990738034,0.098557621,0.029857635,374371,0.01525597,0.007660351,0.007597796,0.007813582
138115,advlogo_eps0.9_iter6,6,0.333333333,0,0.9898451,48.61304506,0.99868238,0.999456763,0.070796385,0.007912457,254404,0.00412208,0.001857828,0.001914026,0.001925265
374369,advlogo_eps0.9_iter16,16,0.333333333,0,0.9747553,44.21104731,0.996307552,0.996024847,0.143320769,0.030298233,311741,0.006291636,0.003076077,0.003076811,0.003097726
123213,advlogo_eps0.9_iter131,131,0.080808081,0,0.90332603,32.89501843,0.98316592,0.984974325,0.198547095,0.042569876,407221,0.027292214,0.014095601,0.013983019,0.014262609
357742,advlogo_eps0.9_iter9,9,0.25,0,0.989511,46.54345989,0.998638809,0.99875313,0.050316341,0.013665318,210249,0.003821343,0.001782314,0.001781063,0.001797223
439854,advlogo_eps0.9_iter15,15,0.270833333,0,0.98327416,44.52015891,0.99779892,0.998239279,0.079180673,0.0114851,272251,0.005532893,0.002666275,0.002683033,0.002673476
465836,advlogo_eps0.9_iter35,35,0.25,0,0.9752273,40.31694235,0.996646166,0.997176886,0.070876457,0.025281906,368755,0.010016421,0.004985692,0.005000475,0.005013372
414385,advlogo_eps0.9_iter43,43,0.386363636,0,0.9685228,40.13632115,0.994673193,0.994608223,0.072114334,0.021578968,324513,0.008328634,0.004046289,0.004092222,0.004110153
131556,advlogo_eps0.9_iter1,1,0.045454545,0,0.9990632,57.38893566,0.999888897,0.999887943,0.004343344,0.000650644,45152,0.000653946,0.000305404,0.000299077,0.000299545
322724,advlogo_eps0.9_iter23,23,0.333333333,0,0.9821617,42.62253057,0.997303367,0.997328758,0.057096105,0.018489361,274426,0.005765945,0.002566276,0.002575693,0.002645846
481390,advlogo_eps0.9_iter97,97,0.108618654,0,0.95444965,33.12858074,0.993633509,0.990870237,0.092966206,0.016308069,403432,0.023747856,0.011808697,0.011780995,0.012098415
276434,advlogo_eps0.9_iter5,5,0.077922078,0,0.99363154,48.19905809,0.999197423,0.999420822,0.038009085,0.003414214,280294,0.004508218,0.002121164,0.002111987,0.002144374
